Id,SalePrice
1461,130436.39506512656
1462,169806.35883754186
1463,168997.09679257908
1464,180919.74409439907
1465,219146.84541587773
1466,167521.6925246107
1467,168442.7156793256
1468,158854.41878839632
1469,199502.77658258975
1470,101438.74925972219
1471,216247.33973624135
1472,109083.12833631196
1473,104907.89113126823
1474,158353.7213340718
1475,131821.5043227893
1476,339229.9724735109
1477,245391.74439773682
1478,287927.3699249701
1479,283756.8677865983
1480,403797.469958151
1481,280860.0097089106
1482,219440.81496741498
1483,189431.7567105931
1484,187911.80637083636
1485,203160.57305243696
1486,211235.96861407565
1487,307986.6714104838
1488,246611.23736669242
1489,191677.97055801013
1490,248300.3041884038
1491,216720.5011279723
1492,107838.34352063516
1493,171596.4411883366
1494,283399.5118619917
1495,278766.61964120506
1496,247313.56728694032
1497,193205.84566516007
1498,176293.8928463659
1499,177741.55315839718
1500,165374.57490689095
1501,187295.47523043133
1502,172846.6891138075
1503,265645.6436773222
1504,241262.79621316094
1505,223739.66165653654
1506,189898.18013690863
1507,255679.01024474206
1508,207316.29417969784
1509,155691.5305644267
1510,134697.51053501669
1511,157112.24789800754
1512,184912.70297827772
1513,162994.44347317485
1514,148458.73218737656
1515,209774.4773581292
1516,154355.09794276135
1517,157378.77547179293
1518,130561.64302271485
1519,237052.21013088463
1520,129420.7863864009
1521,132283.79735132746
1522,182180.8906440763
1523,94407.68968876323
1524,98917.8444140642
1525,109126.12074672861
1526,115220.6543954172
1527,96938.53506464878
1528,127170.01849091306
1529,139899.65066569098
1530,181830.81610509232
1531,136099.40745855114
1532,97051.02308065176
1533,156837.39301602947
1534,126410.32744155105
1535,159713.58046182911
1536,114029.12460281956
1537,52644.11222130986
1538,187520.21427387567
1539,219105.5424846049
1540,132829.66734182966
1541,147528.92308030443
1542,154830.695777891
1543,219886.72946791918
1544,81050.16131650456
1545,122323.25186357411
1546,141447.81486413922
1547,151028.37933129058
1548,136365.88801580665
1549,110182.65975822898
1550,137242.80361306752
1551,118501.37944392857
1552,146045.33475391878
1553,172110.39623429746
1554,120312.4743720635
1555,185393.07036398145
1556,116715.58207632272
1557,116899.08951221345
1558,95825.2143376274
1559,111808.13244278554
1560,130846.78054108241
1561,110093.27455209411
1562,120305.74016917529
1563,108689.88850269449
1564,166219.48640603785
1565,141887.6511677856
1566,227658.49340327983
1567,63043.01607840654
1568,222450.26772054666
1569,117360.75989170987
1570,146668.01396269925
1571,111319.18378205143
1572,128833.54328891126
1573,244629.71482437433
1574,126016.55612054814
1575,241363.58391382408
1576,243062.45704238626
1577,201988.07973545275
1578,129701.04352978352
1579,136330.88031577304
1580,201572.48209559833
